"","date","hteam","ateam","hfinal","afinal"
"277","08/26/2017","New York","New York City FC",1,1
"278","08/27/2017","DC United","New England",1,0
"279","08/27/2017","Philadelphia","Atlanta United",2,2
"280","08/27/2017","Columbus","FC Dallas",2,1
"281","08/27/2017","Orlando City","Vancouver",1,2
"282","08/27/2017","Chicago","Minnesota United",1,2
"283","08/27/2017","Salt Lake","Colorado",4,1
"284","08/27/2017","Montreal","Toronto",1,3
"285","08/28/2017","L.A. Galaxy","San Jose",0,3
"286","08/28/2017","Seattle","Portland",1,1
"287","09/03/2017","Montreal","Chicago",0,1
"288","09/03/2017","New England","Orlando City",4,0
"289","09/03/2017","FC Dallas","New York",2,2
"290","09/03/2017","L.A. Galaxy","Colorado",3,0
"291","09/07/2017","New York City FC","Kansas City",1,0
"292","09/09/2017","Chicago","New York",1,1
"293","09/09/2017","Toronto","San Jose",4,0
"294","09/09/2017","New York City FC","Portland",0,1
"295","09/10/2017","DC United","Orlando City",1,2
"296","09/10/2017","New England","Montreal",1,0
"297","09/10/2017","Minnesota United","Philadelphia",1,1
"298","09/10/2017","Houston","Colorado",0,1
"299","09/10/2017","Vancouver","Salt Lake",3,2
"300","09/10/2017","Columbus","Kansas City",1,1
"301","09/10/2017","Atlanta United","FC Dallas",3,0
"302","09/11/2017","Seattle","L.A. Galaxy",1,1
"303","09/14/2017","Atlanta United","New England",7,0
"304","09/14/2017","Vancouver","Minnesota United",3,0
"305","09/16/2017","Atlanta United","Orlando City",3,3
"306","09/17/2017","Vancouver","Columbus",2,2
"307","09/17/2017","Montreal","Minnesota United",2,3
"308","09/17/2017","FC Dallas","Seattle",0,0
"309","09/17/2017","Chicago","DC United",3,0
"310","09/17/2017","Kansas City","New England",3,1
"311","09/17/2017","Salt Lake","Portland",2,1
"312","09/17/2017","L.A. Galaxy","Toronto",0,4
"313","09/17/2017","San Jose","Houston",1,0
"314","09/17/2017","New York","Philadelphia",0,0
"315","09/17/2017","Colorado","New York City FC",1,1
